K,WCSS,Silhouette
2,660.5598009111653,0.5915679488768725
3,544.0832172153956,0.6003647370563978
4,526.234173283886,0.587161287019096
5,327.1368009142799,0.5735904082183731
6,281.409722152889,0.5321375895094937
7,253.54449078004407,0.4475596932809082
8,214.5254632630543,0.5534778754156267
9,188.14627711382613,0.5457668907494087
10,172.92566173565115,0.49536135897549793
