country,continent,cluster,casesPerOneMillion,deathsPerOneMillion,testsPerOneMillion,mortality_rate,infection_rate
Latvia,Europe,1,531418,3632,4265272,0.68,53.14
Lebanon,Asia,0,186068,1638,717380,0.88,18.61
Lesotho,Africa,0,16610,332,198199,2.0,1.66
Liberia,Africa,0,1525,56,26356,3.65,0.15
Libyan Arab Jamahiriya,Africa,0,72048,914,352782,1.27,7.2
Liechtenstein,Europe,1,562013,2449,2929559,0.44,56.2
Lithuania,Europe,1,525154,3718,3959997,0.71,52.52
Luxembourg,Europe,1,609044,1918,7140959,0.31,60.9
Macao,Asia,0,41458,184,11760,0.44,4.15
Macedonia,Europe,0,168436,4793,1069626,2.85,16.84
Madagascar,Africa,0,2347,49,18210,2.08,0.23
Malawi,Africa,0,4437,133,30959,3.0,0.44
Malaysia,Asia,0,159079,1126,2066869,0.71,15.91
Maldives,Asia,1,345100,584,4092223,0.17,34.51
Mali,Africa,0,1544,35,37483,2.24,0.15
Malta,Europe,1,273448,1993,4888375,0.73,27.34
Marshall Islands,Australia-Oceania,0,268711,283,0,0.11,26.87
Martinique,North America,1,615777,2946,2215870,0.48,61.58
Mauritania,Africa,0,13025,203,206030,1.56,1.3
Mauritius,Africa,0,33752,824,281374,2.44,3.38
Mayotte,Africa,0,146815,657,618038,0.45,14.68
Mexico,North America,0,58549,2546,152124,4.35,5.85
Micronesia,Australia-Oceania,0,225953,553,701598,0.24,22.6
Moldova,Europe,0,158265,3044,801437,1.92,15.83
Monaco,Europe,1,431868,1684,1976875,0.39,43.19
Mongolia,Asia,1,299429,676,1193000,0.23,29.94
Montenegro,Europe,1,472238,4532,4410034,0.96,47.22
Montserrat,North America,1,282578,1611,3577442,0.57,28.26
Morocco,Africa,0,33860,432,344191,1.27,3.39
Mozambique,Africa,0,7064,68,41437,0.96,0.71
Myanmar,Asia,0,11622,353,212061,3.04,1.16
N. Korea,Asia,0,183636,3,0,0.0,18.36
Namibia,Africa,0,65451,1559,403460,2.38,6.55
Nauru,Australia-Oceania,1,494635,92,1881042,0.02,49.46
Nepal,Asia,0,33199,398,200088,1.2,3.32
Netherlands,Europe,1,501747,1336,1509718,0.27,50.17
New Caledonia,Australia-Oceania,1,275214,1079,340182,0.39,27.52
New Zealand,Australia-Oceania,1,535117,1163,1586011,0.22,53.51
Nicaragua,North America,0,2728,33,0,1.22,0.27
Niger,Africa,0,381,12,9759,3.14,0.04
Nigeria,Africa,0,1233,15,26339,1.18,0.12
Niue,Australia-Oceania,1,652898,0,0,0.0,65.29
Norway,Europe,1,273930,1204,1996315,0.44,27.39
Oman,Asia,0,75028,869,4695724,1.16,7.5
Pakistan,Asia,0,6893,134,133292,1.94,0.69
Palau,Australia-Oceania,1,344979,548,3917841,0.16,34.5
Palestine,Asia,0,116173,1011,575907,0.87,11.62
Panama,North America,1,238341,1962,1772585,0.82,23.83
Papua New Guinea,Australia-Oceania,0,5043,72,26813,1.43,0.5
Paraguay,South America,0,114648,2759,363751,2.41,11.46
Peru,South America,0,135751,6595,1158115,4.86,13.58
Philippines,Asia,0,36800,594,320888,1.61,3.68
Poland,Europe,0,176524,3196,1041970,1.81,17.65
Portugal,Europe,1,556484,2774,4549993,0.5,55.65
Qatar,Asia,0,172664,232,1364257,0.13,17.27
Romania,Europe,0,185470,3622,1511122,1.95,18.55
Russia,Europe,0,165454,2762,1875095,1.67,16.55
Rwanda,Africa,0,9817,108,442778,1.1,0.98
Réunion,Africa,1,544672,1014,1766027,0.19,54.47
S. Korea,Asia,1,673523,700,307892,0.1,67.35
Saint Helena,Africa,1,354211,0,0,0.0,35.42
Saint Kitts and Nevis,North America,0,122645,891,2356704,0.73,12.26
Saint Lucia,North America,0,163225,2215,1139752,1.36,16.32
Saint Martin,North America,1,310194,1586,2828643,0.51,31.02
Saint Pierre Miquelon,North America,1,599410,347,4410488,0.06,59.94
Saint Vincent and the Grenadines,North America,0,86723,1112,1023720,1.28,8.67
Samoa,Australia-Oceania,0,84089,153,926612,0.18,8.41
San Marino,Europe,1,768226,3755,5775414,0.49,76.82
Sao Tome and Principe,Africa,0,29770,351,130008,1.18,2.98
Saudi Arabia,Asia,0,23475,269,1268848,1.15,2.35
Senegal,Africa,0,5044,112,64946,2.21,0.5
Serbia,Europe,1,302213,2087,1555958,0.69,30.22
Seychelles,Africa,1,515157,1730,0,0.34,51.52
Sierra Leone,Africa,0,937,15,31296,1.62,0.09
Singapore,Asia,1,505785,341,4165302,0.07,50.58
Sint Maarten,North America,1,251353,2093,1411454,0.83,25.14
Slovakia,Europe,1,343872,3887,1364199,1.13,34.39
Slovenia,Europe,1,652803,3417,1370382,0.52,65.28
Solomon Islands,Australia-Oceania,0,35989,276,0,0.77,3.6
Somalia,Africa,0,1623,81,23778,4.98,0.16
South Africa,Africa,0,67095,1689,441027,2.52,6.71
South Sudan,Africa,0,1620,13,35313,0.78,0.16
Spain,Europe,1,297840,2606,10082298,0.88,29.78
Sri Lanka,Asia,0,31181,783,300619,2.51,3.12
St. Barth,North America,1,553746,603,7908095,0.11,55.37
Sudan,Africa,0,1391,110,12240,7.89,0.14
Suriname,South America,0,138378,2359,405822,1.7,13.84
Swaziland,Africa,0,63462,1204,885119,1.9,6.35
Sweden,Europe,1,269511,2682,1908301,1.0,26.95
Switzerland,Europe,1,507549,1647,2716487,0.32,50.75
Syrian Arab Republic,Asia,0,2982,163,7553,5.48,0.3
Taiwan,Asia,1,428720,796,1286903,0.19,42.87
Tajikistan,Asia,0,1786,13,0,0.7,0.18
Tanzania,Africa,0,683,13,0,1.96,0.07
Thailand,Asia,0,68069,494,246488,0.73,6.81
Timor-Leste,Asia,0,17131,101,203391,0.59,1.71
Togo,Africa,0,4559,33,93908,0.73,0.46
Tonga,Australia-Oceania,0,157310,121,4965327,0.08,15.73
Trinidad and Tobago,North America,0,136143,3121,649295,2.29,13.61
Tunisia,Africa,0,95741,2442,416164,2.55,9.57
Turkey,Asia,0,201399,1194,1902052,0.59,20.14
Turks and Caicos Islands,North America,2,169900,1007,15520193,0.59,16.99
Tuvalu,Australia-Oceania,0,243909,83,0,0.03,24.39
UAE,Asia,2,105837,233,19910389,0.22,10.58
UK,Europe,1,363666,3389,7628357,0.93,36.37
USA,North America,1,333985,3642,3544901,1.09,33.4
Uganda,Africa,0,3554,75,62198,2.11,0.36
Ukraine,Europe,0,128681,2603,754855,2.02,12.87
Uruguay,South America,1,297799,2192,1749083,0.74,29.78
Uzbekistan,Asia,0,7378,48,40077,0.65,0.74
Vanuatu,Australia-Oceania,0,37346,44,77606,0.12,3.73
Venezuela,South America,0,18885,200,114771,1.06,1.89
Vietnam,Asia,0,117481,437,867342,0.37,11.75
Wallis and Futuna,Australia-Oceania,1,323256,728,1867419,0.23,32.33
Yemen,Asia,0,383,69,10579,18.07,0.04
Zambia,Africa,0,17940,209,211244,1.16,1.79
Zimbabwe,Africa,0,17373,374,164744,2.15,1.74
