country,cases,todayCases,deaths,todayDeaths,recovered,active,critical,casesPerOneMillion,deathsPerOneMillion,tests,testsPerOneMillion,population,continent,oneCasePerPeople,oneDeathPerPeople,oneTestPerPeople,data_collected_at
Trinidad and Tobago,191496,0,4390,0,187078,28,0,136143,3121,913289,649295,1406585,North America,7,320,2,2025-03-23 19:32:41
Tunisia,1153361,0,29423,0,0,1123938,0,95741,2442,5013383,416164,12046656,Africa,10,409,2,2025-03-23 19:32:41
Turkey,17232066,0,102174,0,0,17129892,0,201399,1194,162743369,1902052,85561976,Asia,5,837,1,2025-03-23 19:32:41
Turks and Caicos Islands,6752,0,40,0,6709,3,4,169900,1007,616788,15520193,39741,North America,6,994,0,2025-03-23 19:32:41
Tuvalu,2943,0,1,0,0,2942,0,243909,83,0,0,12066,Australia-Oceania,4,12066,0,2025-03-23 19:32:41
UAE,1067030,0,2349,0,0,1064681,0,105837,233,200732262,19910389,10081785,Asia,9,4292,0,2025-03-23 19:32:41
UK,24910387,0,232112,0,24678275,0,0,363666,3389,522526476,7628357,68497907,Europe,3,295,0,2025-03-23 19:32:41
USA,111820082,0,1219487,0,109814428,786167,940,333985,3642,1186851502,3544901,334805269,North America,3,275,0,2025-03-23 19:32:41
Uganda,172149,0,3632,0,100431,68086,0,3554,75,3012408,62198,48432863,Africa,281,13335,16,2025-03-23 19:32:41
Ukraine,5557995,0,112418,0,5445577,0,0,128681,2603,32603805,754855,43192122,Europe,8,384,1,2025-03-23 19:32:41
Uruguay,1041111,0,7664,0,1030944,2503,18,297799,2192,6114822,1749083,3496016,South America,3,456,1,2025-03-23 19:32:41
Uzbekistan,253662,0,1637,0,241486,10539,23,7378,48,1377915,40077,34382084,Asia,136,21003,25,2025-03-23 19:32:41
Vanuatu,12019,0,14,0,11976,29,0,37346,44,24976,77606,321832,Australia-Oceania,27,22988,13,2025-03-23 19:32:41
Venezuela,552695,0,5856,0,546537,302,31,18885,200,3359014,114771,29266991,South America,53,4998,9,2025-03-23 19:32:41
Vietnam,11625195,0,43206,0,10640971,941018,0,117481,437,85826548,867342,98953541,Asia,9,2290,1,2025-03-23 19:32:41
Wallis and Futuna,3550,0,8,0,438,3104,0,323256,728,20508,1867419,10982,Australia-Oceania,3,1373,1,2025-03-23 19:32:41
Western Sahara,10,0,1,0,9,0,0,16,2,0,0,626161,Africa,62616,626161,0,2025-03-23 19:32:41
Yemen,11945,0,2159,0,9124,662,0,383,69,329592,10579,31154867,Asia,2608,14430,95,2025-03-23 19:32:41
Zambia,349304,0,4069,0,341316,3919,0,17940,209,4112961,211244,19470234,Africa,56,4785,5,2025-03-23 19:32:41
Zimbabwe,266359,0,5740,0,258888,1731,12,17373,374,2525756,164744,15331428,Africa,58,2671,6,2025-03-23 19:32:41
