country,cases,todayCases,deaths,todayDeaths,recovered,active,critical,casesPerOneMillion,deathsPerOneMillion,tests,testsPerOneMillion,population,continent,oneCasePerPeople,oneDeathPerPeople,oneTestPerPeople,data_collected_at
Brunei,343719,0,225,0,243601,99893,3,771655,505,717784,1611437,445431,Asia,1,1980,1,2025-03-23 19:32:41
Bulgaria,1339851,0,38748,0,1292944,8159,22,195753,5661,11671043,1705147,6844597,Europe,5,177,1,2025-03-23 19:32:41
Burkina Faso,22114,0,400,0,21596,118,0,1001,18,248995,11265,22102838,Africa,999,55257,89,2025-03-23 19:32:41
Burundi,54721,0,38,0,53569,1114,0,4334,3,345742,27386,12624840,Africa,231,332233,37,2025-03-23 19:32:41
Cabo Verde,64477,0,417,0,63755,305,23,113580,735,401622,707482,567678,Africa,9,1361,1,2025-03-23 19:32:41
Cambodia,139103,0,3056,0,136044,3,0,8102,178,3091420,180062,17168639,Asia,123,5618,6,2025-03-23 19:32:41
Cameroon,125379,0,1974,0,123280,125,0,4492,71,1751774,62762,27911548,Africa,223,14140,16,2025-03-23 19:32:41
Canada,4946090,0,59034,0,4881312,5744,99,128843,1538,66572774,1734189,38388419,North America,8,650,1,2025-03-23 19:32:41
Caribbean Netherlands,11682,0,38,0,10476,1168,0,438398,1426,30126,1130559,26647,North America,2,701,1,2025-03-23 19:32:41
Cayman Islands,31472,0,37,0,8553,22882,1,467797,550,222773,3311280,67277,North America,2,1818,0,2025-03-23 19:32:41
Central African Republic,15440,0,113,0,15200,127,2,3078,23,81294,16205,5016678,Africa,325,44395,62,2025-03-23 19:32:41
Chad,7701,0,194,0,4874,2633,0,442,11,191341,10988,17413580,Africa,2261,89761,91,2025-03-23 19:32:41
Channel Islands,101717,0,228,0,101321,168,0,576421,1292,1252808,7099551,176463,Europe,2,774,0,2025-03-23 19:32:41
Chile,5384853,0,64497,0,5252450,67906,7,279730,3350,50382097,2617225,19250195,South America,4,298,0,2025-03-23 19:32:41
China,503302,0,5272,0,379053,118977,0,347,4,160000000,110461,1448471400,Asia,2878,274748,9,2025-03-23 19:32:41
Colombia,6400173,0,143200,0,6212152,44821,342,124244,2780,36951507,717327,51512762,South America,8,360,1,2025-03-23 19:32:41
Comoros,9109,0,161,0,8939,9,0,10038,177,0,0,907419,Africa,100,5636,0,2025-03-23 19:32:41
Congo,25375,0,386,0,24006,983,0,4377,67,347815,59991,5797805,Africa,228,15020,17,2025-03-23 19:32:41
Cook Islands,7203,0,2,0,7150,51,0,409937,114,19690,1120596,17571,Australia-Oceania,2,8786,1,2025-03-23 19:32:41
Costa Rica,1238883,0,9428,0,0,1229455,0,239058,1819,4659757,899158,5182354,North America,4,550,1,2025-03-23 19:32:41
Croatia,1309728,0,18687,0,1258432,32609,0,322650,4604,5660084,1394355,4059286,Europe,3,217,1,2025-03-23 19:32:41
Cuba,1115251,0,8530,0,1106660,61,0,98645,754,14402674,1273936,11305652,North America,10,1325,1,2025-03-23 19:32:41
Curaçao,45986,0,295,0,44720,971,3,277812,1782,496693,3000640,165529,North America,4,561,0,2025-03-23 19:32:41
Cyprus,681110,0,1365,0,679745,0,0,556741,1116,9640118,7879860,1223387,Asia,2,896,0,2025-03-23 19:32:41
Czechia,4759041,0,43517,0,4715206,318,2,443246,4053,57834241,5386552,10736784,Europe,2,247,0,2025-03-23 19:32:41
Côte d'Ivoire,88384,0,835,0,87497,52,0,3186,30,1690934,60951,27742298,Africa,314,33224,16,2025-03-23 19:32:41
DRC,99338,0,1468,0,84489,13381,0,1043,15,846704,8890,95240792,Africa,959,64878,112,2025-03-23 19:32:41
Denmark,3183756,0,8814,0,3174942,0,0,545636,1511,129333107,22165247,5834950,Europe,2,662,0,2025-03-23 19:32:41
Diamond Princess,712,0,13,0,699,0,0,0,0,0,0,0,,0,0,0,2025-03-23 19:32:41
